AR_NUMBER,AR_PRIORITY,AR_SEVERITY,PRIORITY_SEVERITY,CONCAT_TEXT_FOR_WKS
401735,CAQ,C,CAQ:C,dsa pi low osp elec local air start pressure west side dg dsa pi find low reading osp elec minimum specification per sop dg start logs reading routinely take ops stable trend routine round minimum specification ops round determination need make minimum value correct ops round sop dgstart technical specification operability requirement per ts gt dg receiver dsa pi dsa pi currently specification notified crs
391100,NCAQ,3,NCAQ:3,enhancement order prevent lifting rwcu rv seal purge rwcu system isolate step need step throttle open rwcu v
397176,CAQ,C,CAQ:C,mte find tolerance calcode mitutoyo caliper model find oot reject use cal cycle occurrence wo efin evaluate def attach edms eval efin
389892,NCAQ,3,NCAQ:3,mt cra main hoist not respond radio controller functional testing turbine building bridge crane main hoist not respond radio controller command input main hoist respond control command operator cab aux hoist trolley bridge motion respond radio cab command expect oem technician contact engineering staff continue troubleshoot issue per ar author loose wire locate tighten no action require
384723,CAQ,C,CAQ:C,dg bar perform old rev osp elec prestart check bar dg per section osp elec perform superseded revision major rev instead current revision major rev surveillance perform ipad use ewp typically revision occur work package flag red not open package validate current revision case work package not flag validation require performance bar work package flag red point upon perform validation new revision show available future package check validate prior commence work informed shift manager perform line line verification show no change perform section upload new revision osp elec work package remainder procedure perform current revision no action take swp pro already require verification procedure revision individual coach lesson learn disbribute department no action require
388989,NCAQ,4,NCAQ:4,bus sl motor control center overload trip alarm bus sl motor control center overload trip alarm c drop receive main control room alarm come reset lock alarm typer indicate mc cause alarm however no indication fault mc no load lose happen previously document ar wr h appr inform crs
395202,NCAQ,3,NCAQ:3,hd lcvb seat degraded aov program trending hd lcvb need valve rebuild r replace valve internal plug stem assembly notified aov program owner htr bay
385160,CAQ,C,CAQ:C,prepir fsa guidance lack document risk ltca pre pir fsa review conduct ltca code corrective action assignment twelve item review six reschedule one time ltcas approve extension no additional justification risk document extension swp cap section long term corrective action need enhance require documentation verify no additional risk incur completion date corrective action extend beyond upcoming refueling outage discussed issue cap supervisor industry peer
401337,NCAQ,4,NCAQ:4,e tr digital temp display partial failure channel digital temperature display appear failing read number partially initiated cr informed mcr
399227,NCAQ,4,NCAQ:4,simulator training delay min due hardware issue lr simulator scenario delay minute due hardware issue card failure simulator issue resolve plan implement ensure no training miss
398333,NCAQ,4,NCAQ:4,paap hvac temperature rise paap hvac not function design initiate cr wr security supervision notify shift manager notify area walk no security system impact time paap hvac unit
386425,NCAQ,4,NCAQ:4,edr dpis red needle adjustment break knob red needle adjustment edr dpis break needle take gt dp set per sop rw edr ops repair necessary informed shift support supervisor
394322,NCAQ,4,NCAQ:4,temp loss power power mcd operation trasfere sl sl sm cause temp loss power write cr
397625,CAQ,C,CAQ:C,unable reset restore moncr follow tdas blow fuse follow blow fuse tdas restoration unable restore ppc cpudm computer tdas cpudm computer work still input moncore system verify moncore function normally use moncr tdas cpudm perform tsp therm c verify no thermal limit exceed cr inprog approve cr move sro ops review
399726,NCAQ,3,NCAQ:3,operations dept radio fire drill lesson learn ops dept need additional radio allow casualty equipment malfunction response equipment operator minimum number work radio accommodate essential watchstander additional radio sss office however radio available ops supervision event actual plant event although radio available tool crib not help operator try respond time critical event minute second count fire response equipment failure could result reportability equipment failure could result plant transient shutdown etc recommend double inventory radio equipment operator center radio allow shift watchstander radio well additional shift training no training operator informed mcroperation dept radio
402163,NCAQ,3,NCAQ:3,add heise pte voltage current measurement add heise pte voltage current measurement utilize function measure voltage loop could save dose due less equipment hook perform loop calibration disscuse fin shop
401732,NCAQ,3,NCAQ:3,ci enhancement ci measure conductivity reference incorrect attachment section number example reference attachment also reference section attachment section number mistake carry throughout rest proceedure cr write
394395,NCAQ,4,NCAQ:4,mte find tolerance calcode tektronix model p probe find tolerance reject not use calibration cycle no plant impact no action require def
402057,NCAQ,3,NCAQ:3,ppm thermal detection cft perform ppm wo procedure not identify drop fcp control room craft perform lamp test fsp step craft identify zone associate fsp zone fail identify zone craft perform lamp test trouble indication receive zone craft stop work notify control rooom supervision cr iniate procedure enhancement identify zone effect lamp test fsp fcp fsp associate ppm
384928,NCAQ,3,NCAQ:3,need procurement communicate cat id lou change planni lou change part mr assign planned woaos need communicate plan incorporate change limitation use cat id recently change could affect upcoming dg outage lou require burn time hot restart per tsp dgb not know time plan task changed instruction wo include burn time wc add tsp dgb dg fragnet schedule next week good catch relay tech
398476,CAQ,D,CAQ:D,ama fn cs difficult place ptl ama fn control switch difficult place keep ptl please investigate repair replace necessary multiple attempt need get cs stay ptl position hang clearance order notified supervisor tsc
390074,CAQ,D,CAQ:D,es electrical maintenance go inspect es notice es move inch east turn damage tamper alarm device damage happen facilities personnel perform snow removal es sit ground cover snow not noticeable electrical craft able align es cover fix tamp alarm device es need reseal grout weather favorable activity r izaguirre notified facilities supervisor security initiate cr repair eses locate north swpha
391062,CAQ,C,CAQ:C,cc tamper seals miss mte ensls au cl audit note mte miss tamper resistant seal remedie immediately initial extent condition show recall suspect mte prudent determination specific equipment model identify qa include would wise instruct tool crib attendant look additional mte potential candidate tamper seal recommend assign ar calserv initiate customer complaint cc cr contacted maintenance supervisor
402469,NCAQ,4,NCAQ:4,lose lorq simulator time notifier training ppc issue lorq notifier training minute lose training time occur due plant process computer issue ppc stop update simulator issue already resolve sr document action take cr track lose time impact training program
391272,NCAQ,4,NCAQ:4,trainee fail cycle nlo exam two non licensed operator fail nlo training cycle exam discretion line managment per tdi qualification not revoke review exam individual pqd record one individual not hold watch station qualification review exam operator determine failure due lack attention detail not knowledge gap crew managment inform failure remediation plan develop pende approval
398058,CAQ,D,CAQ:D,dbai nrc concern pipe clearance dg dg dg cr write address concern piping clearance dg identify dbai inspection team additional area concern identify addition already identify area near aluminum grating identify piping come steel deck plate floor deck plate slot cut piping come deckplate not restrained floor could contact piping see edms photo walk three dg room take photo area concern write cr design engineering review ar cr description photo attach ar cr edms small bore piping penetrate notch cope dg dg dg floor trench removable diamond plate cover could interact removable diamond plate cover design basis seismic event cives design requirement nonsafety relate item seismic category area section acceptable impacts provide guidance small bore piping consider soft target target would require moderate amount energy cause damage impact b impact soft target may consider acceptable source moderate weight proximity effect subject diamond plate trench cover instal section therefore small relatively lightweight per review cives rsds sse seismic response spectra data sse horizontal seismic acceleration rigid item floor subject trench cover less g small trench cover weigh lb horizontal force would x lbs lb g acceleration horizontal force resist static dynamic friction force leave could result impact force surround item e g line close cives table establish accept coefficient friction slide response unrestrained item columbia assume minimum coefficient friction unrestrained trench cover floor sse seismic condition could result e impact load w x x w w weight trench cover lbs inspection trench cover section weigh less lb associate maximum estimate impact load surround item would lb x lb even double clearly acceptable impact load small bore line penetrate subject trench cover ar cr subject trench cover not represent unacceptable qc condition small bore line penetrate photo small bore piping proximity item dg grate dg nearby item support support config photo appear preclude possibility potentially unacceptable interaction identify item field walkdown conduct design engineering confirm apparent support configuration dg dg dg engine generator area walk exist item find sufficiently restrain anticipate no instance inadequate support configuration proximate item identify note aluminum grate extension adjacent dg dg engine detailed draw aed mis dggratingext seismic category qualification include aed qid installation extension authorize engineering via ar eval occur via wo december cr title update add dbai would add dbai would fit
394884,NCAQ,3,NCAQ:3,rll revision tsp rcs r tsp rcs r need tsp rcs r revise allow llrt testing rhr vb system align condensate storage transfer system via rhr vb review section procedure identify section procedure need similar revision additionally tsp rcs r division system could beneifit similar revision mark copy tsp rc r tsp rcs r include edms write cr provide propose mark
389775,NCAQ,4,NCAQ:4,cool tower fan motor need oil cooling tower fan need oil add motor
397049,NCAQ,4,NCAQ:4,cw ctc level high distribution deck water level perform round note cw ctc level high initiate ar wr inform crs
397581,NCAQ,4,NCAQ:4,thermostat psro office break tic thermostat psro sss office first floor gsb break thermostat physically locate behind ice machine lunch room subject hot compressor discharge ice machine even though subject warm discharge currently contolle temperature office approximately f not adjust due break request thermostat replace preferably location make sense interim recommend reinstallation temporary air conditioner psro sss office notified sm tic locate behind ice machine gsb lunch room
396186,NCAQ,3,NCAQ:3,schedule work delay new equipment need evolution wo drywell scaffold c van remove schedule work delay due not aluminum steel deck trailer need metal deck trailer order stage scaffold cvan trailer load unload refueling outage project currently truck trailer site wood deck stage inside rx truck bay place fire tour log turn require extra resource request enw purchase aluminum steel deck trailer future use initiated condition report
394435,NCAQ,3,NCAQ:3,aed recommendation think need aed power block near breakroom yakima building already bottle first aid kit eo breakroom not aed recent event show valuable aed time take get aed back man valuable time lose especially power block recommend instal aed main hallway not elevation power block cost equipment well worth life save need informed supervision write cr occupational health industrial safety review location aed concern raise ar department believe number location aed sufficient respond emergency addition medical responder train aed location able access aed need appropriate amount time action complete
402757,NCAQ,4,NCAQ:4,rx building obstruction lights not light four rx building obstruction light flashing steady not light hour darkness initiated cr informed mcr faa notem file admin sheet create track report reactor building roof
394833,NCAQ,3,NCAQ:3,inadequate planning restoration tm ec opsproc receive notification via email tm ec remove field assignment prepare procedure revision change assign opsproc four minute prior send notification email ar assign lock due date less day ar submit similar inadequacy engineering change process supervisor inform repeat action submit ar trend purpose
388462,NCAQ,3,NCAQ:3,universal refresher training not complete universal refresher training not complete due date organazation individual not complete trainig time cr individual support usa complete training upon arrival back cgs complete training back site follow pt return work generate cr document training not complete notify emergency preparedness manager responsable component manager action track training report use maintenance department issue track electrical shop maint train program owner ensure training delta address
394295,NCAQ,3,NCAQ:3,rfw dta set screw retain nut need shorten installation oil guard assembly cid wo discover exist allen set screw deg apart retain nut hold turning gear protrude path oil guard assembly need adjust due thrust turbine need investigate repair path make notify supervisor main control room initiate condition report
385906,NCAQ,4,NCAQ:4,flexible conduit not completely make tmu pa performance activity associate wo electrician notice flexible conduit associate tmu pa not make one end one end seal tight terminate junction box end not completely make rigid steel conduit flex transition rigid conduit flex conduit question not associate main motor lead notified supervisor notified crs write cr wr attach picturestmu pa flex conduit tmu pumphouse
401708,NCAQ,3,NCAQ:3,sop slc sparge level enhancement add note caution prior step sop slc sparge level increase frequency tank temperature monitoring approach desire temperature band ensure not exceed f propose revision help address recent ops oe relate exceed max allow procedural temp limit f prevent recurrence
400130,NCAQ,3,NCAQ:3,sop cfd bw pc need enhance double b w performacne sop cfd bw pc step nn say set fill timer approximately minute radwaste operator set fill timer minute perform second b w result cfd not sufficiently fill precoat cpr tk would surge low tank top tank go overflow cf p check valve could hear opening closing system place hand valve shut pump stop step leave fill timer minute minute tag step nn cfd change match step equivalent cfd radwaste operator minute fill could not complete precoat precoat tank surging expand team include sm sta field supervisor come plan use fill procedure finish precoat procedure add resin not place cfd service perform anothe b w precoat sop cfd bw pc
386898,CAQ,D,CAQ:D,fp v packing leak fp v drop per minute packing leak informed mcr hp
383979,NCAQ,4,NCAQ:4,current reading not obtain e disc dpsf electrician try obtain current reading e disc dpsf satisfy pmt new qmb disconnect switch however work instruction define current reading positive cable not enough clearance top enclosure adequately allow jaw amp clamp fit around load wire circuit appear awg firmly instal electrician feel reposition load wire may intrusive feel cr wr generate would allow removal panel side cover per discussion supervision crs sm wo take finished status remain pmt datum collect via wr notified supervisor crs sm generate cr wr picture available dataglance medium folder reference wo wr number no wr xrefed ar cr hrs rw control room e disc dpsf
400333,NCAQ,3,NCAQ:3,fire brigade inventory discrepancy bldg scba harness bldg calibration due date prior next inventory psi gage find break notified rp supervision std lab technician harnesses replace calibrate harness become available new psi gage order warehouse deliver standards lab calibration replace calibration complete
388266,NCAQ,3,NCAQ:3,protect system verification removal log protect scheme track esoms no need shiftly verification operator log due redundency remove log crs sm notifiedmain control room
397454,NCAQ,4,NCAQ:4,label fall mcr board gg multiple label fall mcr board hp hold scotch tape please repair well adhesive cr wrmcr board hp g
392333,NCAQ,4,NCAQ:4,several bs non return check valve indicate dual position performed wo rx power following valve indicate dual position ppm need perform r bs va bs va bs va bs vb bs vc bs vd bs bs vf bs va bs vb bs vc bs vd bs hd va hd vb informed crs sm wrote wr
394849,CAQ,D,CAQ:D,air gas void detect rhr loop b wo rhr b ut fill verification void detect location discharge pipe rhr fe demension void inch arc foot length notified operations engineering
394117,NCAQ,4,NCAQ:4,level control loop hd licc find specification performng calibration hd p ic work order pressure current converter find specification high approximately value specification plus minus would cause high level indication hd licc actual level calibrate hd p ic within specification per imd work order informed supervision return system service turbine building ir
385029,NCAQ,4,NCAQ:4,three pallet jack find r rail bay without wheel chock reactor building r rail bay three pallet jack find without ppm wheel chock instal upon discovery wheel chock obtain instal see photo attach edms ar cr though safety relate seismic area pallet jack without chock wheel per ppm sufficiently remote potentially impact sensitive ssc indicate wheel chock instal cr subject pallet jack
400493,NCAQ,4,NCAQ:4,exam failure nlo requalification cycle non licensed operator fail cycle requalification exam qualification remove pende remediation remediation examination conduct accordance tdi tdi performed exam analysis conduct trainee dificiency analysis remove qualification develop remediation plan inform crew supervision management document failure
384524,NCAQ,3,NCAQ:3,esom not update overtime assignment overtime call maintenance supervisor cover monday holiday labor day maintenance supervisor call day cover holiday maintenance supervisor accept overtime assignment fail update esoms return work informed management update esom discuss cap l walker close cr no action need trend maint jsw
387883,CAQ,D,CAQ:D,alarm crd hcu scram time testing receive rod accumulator trouble alarm pa drop crd hcu scram time testing dispatch ops investigate alarm crd hcu crd hcu due high moisture level ops drain moisture per sop crd hcu
391328,NCAQ,4,NCAQ:4,toa tisa reading low toa va not shut toa tisa read gt f low outside temp toa va open crs permission obtain place toa va close however valve remain open toa rmsa close recommend investigate repair replace necessary informed crs attempt close toa va generate ar wr
395673,NCAQ,4,NCAQ:4,ms vb ms v loss indication ms vb ms v lose indication mcr valve close green light replace bulb no change
398181,NCAQ,4,NCAQ:4,e tr cooler alarm e tr alarm cooler failure position approx alarm clear upon reset write trend temperature w w q informed crs reset alarm
399757,CAQ,D,CAQ:D,rb temperature low oos rb temperature degree f minimum per log note degree f notes state h reading long note state minimum temperature ge degree f rb crane not make full rate lift cr write mcr staff inform
390077,NCAQ,3,NCAQ:3,nrc thread connection preaction drain line w no cap nrc identify common drain line preaction system p open piping thread connection look cap instal review not reflect cap connection configuration exist preaction system p p p p p p p p condition not impact functionality preaction system drain currently close no supervisory alarm actuate main control room evaluate whether pipe cap need connection walk preaction system review draw write cr aed p p p p p p p p p valve fp v p fp v p fp v p fp v p fp v p fp v p fp v p fp v p depict closed not cap flow diagram configuration align sop fp lu describe aux drain valve epn closed c not closed cap c field configuration appear align line procedure flow diagram depiction drain line associate preaction system p p p p p p p p
402036,CAQ,D,CAQ:D,lorq annual operating exam failure one licensed operator fail annual operating exam administer week remediation iaw tdi tdi de certify individual pqd notify operations operations training management recommend severity level
388021,NCAQ,3,NCAQ:3,r sop hvac tb start procedure change sop hvac tb start reference tea fn blower sr place service remove replace new sample tea sr sop hvac tb shutdown reference new tea sr write cr
393813,NCAQ,3,NCAQ:3,operation main transformer cooler group new main transformer cool group currently operate two cooler always run two come different temperature setpoint transformer service various discussion new main transform vendor provide direction cool operation main transformer discussion vendor past energy northwest ask impact would operate cooler year round cycle last cooler need operation three cooler reduce amount alarm associate cooler since not start stop frequently intent cr update operation determine time turn cold warm weather operation
393542,NCAQ,4,NCAQ:4,r lesson learn e shop support task main turbine document lesson learn electrical support main turbine disassembly reassembly not factor outage schedule support task resource allocation not identify incorporate schedule wound emergent support cause delay already schedule electric shop work prevent delay siemens work document lesson learn
402041,NCAQ,3,NCAQ:3,hour miss report send industrial safety since nchr hour not import peoplesoft financials projects module hour work information submit industrial safety industrial safety pi pull peoplesoft financials projects module consequently hour work datum submit industrial safety since state notify manager regulatory industrial safety contact human resources finance determine something change interface peoplesoft hr peoplesoft financial would account nchr hour not import
394750,NCAQ,4,NCAQ:4,rll tv actuator need deg deh elbow transfer manifold mount side actuator block ms v tv require three deg elbow order mate plant deh piping elbow old manifold block transfer new one first time occurrence since actuator block new r lesson learn cr ensure part procure ready next time new actuator block instal instal supply new condition apply throttle valves receive new actuator block discuss project manager discuss oem inform eocmanifold block side tv actuator block
386427,NCAQ,4,NCAQ:4,could not locate open procedure volume sop rw fdr infreq performance sop rw fdr infreq jumper instal permit pump fdr tk percent full open volume procedure could not locate normal lineup fdr tk restore inform crs shift manager utilize fresh copy sop rw fdr infreq remove jumper restore system normal lineup
394573,CAQ,D,CAQ:D,sgt fna start rps b transfer rps b transfer alt sec note sgt fna sgt ehca stage start sgt va not reposition nssss reset sgt ehca take ptl back auto sec sgt fna sgt ehca restart rc reset sgt ehca take ptl back auto sgt fna ehca remain
402860,CAQ,D,CAQ:D,filter aa end roll alarm alarm p filter aa end roll alarm come ops dispatch no filter light suspect burn lightbulb not field replaceable discuss crs sm
399581,CAQ,C,CAQ:C,gereral rise trend dw ww concentration gereral rise trend dw ww concentration due leakage drywell wetwell difficult detemine source inleakage suspect cms sr leak logged vacuum datum decline since place inservice previous vacuum value log consistantly range sample rack go service please see graph attach edms doc suggest investigate leakage addressing current concentration limit write ar wr informed supervision
397862,NCAQ,3,NCAQ:3,pdis mon gds lock grey screen pdis mon gds lock screen currently grey loading symbol swirl screen not respond operator command write cr informed crs min screen return normal still recommend investigate determine cause gds restore service minute later currently function however reactivity button yellow no apparent cause
397842,NCAQ,4,NCAQ:4,tk filter basket appear clog oil find leak strainer basket housing pool tk basket change likely need notify crsto tk room
401623,CAQ,D,CAQ:D,cch crb upper oil glass full trend cr cch crb upper oil glass observe full take ops reading log direct run aux oil pump level lower inch bottom sight glass document action trend cr cr also note chiller secure prior shift write cr recommend trend
389198,NCAQ,4,NCAQ:4,th qtr security training zero failure security annual written tests conduct th quarter training cr trend purpose cr submitted specific datum place th quarter end cycle review
397922,NCAQ,4,NCAQ:4,bee stung employee hand approximately en employee walk enoc maintenance shop along lay yard fence sting pinky finger right hand en employee notify supervisor employee elect self administer first aid supervisor notify department manager incident cr generate
393781,NCAQ,4,NCAQ:4,e tr pdp b mount rust e tr pdp b transformer locate window wellhouse building bolt attach floor completely rust separate transformer currently prevent fall cable attach transformer easily move mount please repair notified smgt write cr wellhouse building
390310,CAQ,C,CAQ:C,osp flex b no exp date oil no stable osp flex b require check expiration date oil bldg page no expiration date list oil also no gasoline stabilizer storage area list please fix procedure miss equipment crosp flex b
